,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
545,90527.0,WPG,Kokomo,,,100.0,93.7,Markland Plaza,,,IN,"['Bed Bath & Beyond, Best Buy']",,1974,,
546,102105.0,WPG,Martinsville,,,100.0,99.3,Martinsville Plaza,,,VA,"[""Food Lion, Rose's""]",,1967,,
547,273836.0,WPG,Matteson (Chicago),,,100.0,56.2,Matteson Plaza,,,IL,['Shoppers World'],,1988,,
548,230843.0,WPG,Morgantown,,,100.0,99.3,Morgantown Commons,,,WV,"['Gabriel Brothers, Kmart(5)']",2015,,,
549,171621.0,WPG,Muncie,,,100.0,100.0,Muncie Towne Plaza,,,IN,"[""AMC Theatres, Kohl's, MC Sporting Goods,"", 'T.J. Maxx']",,1998,,
550,169796.0,WPG,Raleigh,,,100.0,95.5,North Ridge Shopping Center,,,NC,"['Ace Hardware, Harris-Teeter Grocery']",2004,,,
551,204956.0,WPG,Fort Wayne,,,100.0,81.4,Northwood Plaza,,,IN,['Target'],,1974,,
552,405925.0,WPG,McAllen,,,100.0,86.1,Palms Crossing,,,TX,"[""Babies 'R Us, Barnes & Noble, Bealls, Best"", 'Buy, DSW, Hobby Lobby']",,2007,,
553,327785.0,WPG,Manchester,,,100.0,100.0,"Plaza at Buckland Hills, The",,,CT,"['Big Lots, Eastern Mountain Sports, Jo-Ann', ""Fabrics, Michael's, PetsMart, Toys 'R"", 'Us']",2014,,,
554,163259.0,WPG,Orange Park (Jacksonville),,,100.0,87.9,Westland Park Plaza,,,FL,"[""Beall's, Burlington Coat Factory, Guitar"", 'Center, L.A. Fitness']",2014,,,
555,404879.0,WPG,Springfield,,,100.0,97.3,White Oaks Plaza,,,IL,"[""Babies 'R Us/Toys 'R Us, County Market,"", ""Kohl's, Office Max, T.J. Maxx, Ulta""]",,1986,,
556,613731.0,WPG,Whitehall,,,100.0,97.1,Whitehall Mall,,,PA,"[""Bed Bath & Beyond, Buy Buy Baby, Gold's Gym,"", ""Kohl's, Michael's(5), Raymour & Flanigan"", 'Furniture, Sears']",2014,,,
557,632253.0,WPG,Georgetown (Austin),,,100.0,98.9,Wolf Ranch,,,TX,"[""Best Buy, DSW, Gold's Gym, Kohl's, Michael's,"", 'Office Depot, PetsMart, Ross Dress for', 'Less, Target, T.J. Maxx']",,2005,,
558,670031.0,WPG,Anderson,,,100.0,78.6,Anderson Mall,,,SC,"[""Belk, Books-A-Million, Dillard's, JCPenney,"", 'Sears']",,1972,,
559,87395.0,WPG,Ann Arbor,,,95.3,96.3,Arbor Hills,,,MI,[nan],2015,,,
560,199510.0,WPG,Austin,,,100.0,87.5,"Arboretum, The",,,TX,"['Barnes & Noble, Cheesecake Factory, Pottery', 'Barn']",1998,,,
561,433769.0,WPG,Ashland,,,100.0,99.4,Ashland Town Center,,,KY,"['Belk, Belk Home Store, JCPenney, T.J. Maxx']",2015,,,
562,571832.0,WPG,"Bowie (Wash, D.C.)",,,100.0,97.4,Bowie Town Center,,,MD,"['Barnes & Noble, Best Buy, L.A. Fitness,', ""Macy's, Off Broadway Shoes, Sears(14)""]",,2001,,
563,27970.0,GGP,New York,27970.0,,100.0,100.0,200 Lafayette,,,NY,['Pirch'],,,,
564,82526.0,GGP,Chicago,82526.0,,100.0,51.8,605 N. Michigan Avenue,,,IL,['Sephora'],,,,
565,117411.0,GGP,Chicago,117411.0,,100.0,100.0,830 N. Michigan Avenue,,,IL,"['Uniqlo, Topshop']",,,,
566,782318.0,GGP,Rochester,413202.0,,100.0,98.2,Apache Mall,,,MN,"[""Herberger's, JCPenney, Macy's""]",,,,
567,1099384.0,GGP,Augusta,502161.0,,100.0,99.0,Augusta Mall,,,GA,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
568,1694298.0,GGP,Friendswood,876762.0,,100.0,98.0,Baybrook Mall,,,TX,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
569,1007584.0,GGP,Beachwood,348809.0,,100.0,98.8,Beachwood Place,,,OH,"[""Dillard's, Nordstrom, Saks Fifth Avenue""]",,,,
